Source,Target,weight
ehin5H3gheo,ZNAzYEM1pxo,1
ehin5H3gheo,HQC5sPN9Xhc,1
ehin5H3gheo,0pHNhQGcXxs,1
ZNAzYEM1pxo,8ysFkNYwhAE,1
ZNAzYEM1pxo,oh5p5f5_-7A,1
ZNAzYEM1pxo,dLEH8oyhbek,1
8ysFkNYwhAE,zxj3xLDNxo0,1
8ysFkNYwhAE,JXieAiuSsww,1
8ysFkNYwhAE,8Zge88tVwjE,1
zxj3xLDNxo0,-gupGMO50zQ,1
zxj3xLDNxo0,ReENCTH7MYI,1
zxj3xLDNxo0,VnZEpic2UzU,1
JXieAiuSsww,XBqD3QhKU24,1
JXieAiuSsww,j8Jf7QVKLgQ,1
JXieAiuSsww,4KYxkqlzyqM,1
JXieAiuSsww,dLEH8oyhbek,1
JXieAiuSsww,8ysFkNYwhAE,1
JXieAiuSsww,qTDQt_PdlYc,1
4KYxkqlzyqM,8ysFkNYwhAE,1
4KYxkqlzyqM,uEUMVwc4o5U,1
4KYxkqlzyqM,JXieAiuSsww,1
8Zge88tVwjE,HklPkQ0lSKA,1
8Zge88tVwjE,hP4GfMgsNVE,1
8Zge88tVwjE,kdlHV6ceI_g,1
oh5p5f5_-7A,AGhXEPfp-W4,1
oh5p5f5_-7A,DFQlu6eqrBo,1
oh5p5f5_-7A,L5bXkI0-pEg,1
AGhXEPfp-W4,lLunPQBzW6g,1
AGhXEPfp-W4,fBh1nA4pMDY,1
AGhXEPfp-W4,PutvF_P4588,1
lLunPQBzW6g,L5bXkI0-pEg,1
lLunPQBzW6g,Wj-3ct7RvAI,1
lLunPQBzW6g,KmoRz01bm0Y,1
PutvF_P4588,Fw6odlNp7_8,1
PutvF_P4588,iRMsb9Vf7GM,1
PutvF_P4588,HCsCatvigtw,1
DFQlu6eqrBo,Qj6lMtnCt8o,1
DFQlu6eqrBo,u0Bz6TNUK1Q,1
DFQlu6eqrBo,ZKxFvyyOBPQ,1
L5bXkI0-pEg,PutvF_P4588,2
L5bXkI0-pEg,ReENCTH7MYI,1
L5bXkI0-pEg,XBqD3QhKU24,1
L5bXkI0-pEg,j8Jf7QVKLgQ,1
L5bXkI0-pEg,Wj-3ct7RvAI,1
dLEH8oyhbek,osuPB82zUP0,1
dLEH8oyhbek,L0QWkH5ONUo,1
dLEH8oyhbek,Fw6odlNp7_8,1
osuPB82zUP0,dNEp3hoHSDI,1
osuPB82zUP0,L5bXkI0-pEg,1
osuPB82zUP0,dLEH8oyhbek,1
dNEp3hoHSDI,L5bXkI0-pEg,1
dNEp3hoHSDI,zxj3xLDNxo0,1
dNEp3hoHSDI,8P-YeoTmVrw,1
L0QWkH5ONUo,QglIjlqsUdU,1
L0QWkH5ONUo,HCsCatvigtw,1
L0QWkH5ONUo,4vXB2R8ybDE,1
Fw6odlNp7_8,ubUXBqE6t0U,1
Fw6odlNp7_8,XBqD3QhKU24,1
Fw6odlNp7_8,gYuH4Ilqdhs,1
Fw6odlNp7_8,PbchoOWWCZs,1
Fw6odlNp7_8,JXieAiuSsww,1
Fw6odlNp7_8,87MMbN1bQCs,1
HQC5sPN9Xhc,vrAMRxBB5KI,1
HQC5sPN9Xhc,pfWV8NkotvU,1
